Approved symbol	Approved name	UniProt ID(supplied by UniProt)	NCBI Gene ID	Ensembl ID(supplied by Ensembl)
FAM187B	family with sequence similarity 187 member B	Q17R55	148109	ENSG00000177558
FAM187B2P	family with sequence similarity 187 member B2, pseudogene		100421621	ENSG00000262497
FAM189A1	family with sequence similarity 189 member A1	O60320	23359	ENSG00000104059
FAM189A2	family with sequence similarity 189 member A2	Q15884	9413	ENSG00000135063
FAM189B	family with sequence similarity 189 member B	P81408	10712	ENSG00000160767
FAM192A	family with sequence similarity 192 member A	Q9GZU8	80011	ENSG00000172775
FAM192BP	family with sequence similarity 192 member B, pseudogene		152667	ENSG00000231841
FAM193A	family with sequence similarity 193 member A	P78312	8603	ENSG00000125386
FAM193B	family with sequence similarity 193 member B	Q96PV7	54540	ENSG00000146067
FAM197Y1	family with sequence similarity 197 Y-linked member 1		100289265	ENSG00000224336
FAM197Y2	family with sequence similarity 197 Y-linked member 2		252946	ENSG00000234803
FAM197Y3	family with sequence similarity 197 Y-linked member 3		107987341	ENSG00000230066
FAM197Y4	family with sequence similarity 197 Y-linked member 4		100289188	ENSG00000274196
FAM197Y5	family with sequence similarity 197 Y-linked member 5		100289150	ENSG00000225516
FAM197Y6	family with sequence similarity 197 Y-linked member 6		105379270	ENSG00000237802
FAM197Y7	family with sequence similarity 197 Y-linked member 7		105379269	ENSG00000228383
FAM197Y8	family with sequence similarity 197 Y-linked member 8		105379268	ENSG00000225560
FAM197Y9	family with sequence similarity 197 Y-linked member 9		100132932	ENSG00000234830
FAM197Y10	family with sequence similarity 197 Y-linked member 10		100288465	ENSG00000235719
FAM198B-AS1	FAM198B antisense RNA 1		285505	ENSG00000248429
FAM199X	family with sequence similarity 199, X-linked	Q6PEV8	139231	ENSG00000123575
FAM199YP	family with sequence similarity 199, Y-linked, pseudogene		360029	
FAM200A	family with sequence similarity 200 member A	Q8TCP9	221786	ENSG00000221909
FAM200B	family with sequence similarity 200 member B	P0CF97	285550	ENSG00000237765
FAM201A	family with sequence similarity 201 member A	Q5SY85	158228	ENSG00000204860
FAM201B	family with sequence similarity 201 member B		339742	ENSG00000230992
FAM201CP	family with sequence similarity 201 member C, pseudogene		100132230	
FAM204A	family with sequence similarity 204 member A	Q9H8W3	63877	ENSG00000165669
FAM204BP	family with sequence similarity 204 member B, pseudogene		100420875	ENSG00000233040
FAM204CP	family with sequence similarity 204 member C, pseudogene		100420916	ENSG00000230902
FAM204DP	family with sequence similarity 204 member D, pseudogene		100420963	ENSG00000258552
FAM205A	family with sequence similarity 205 member A	Q6ZU69	259308	ENSG00000205108
FAM205BP	family with sequence similarity 205 member B, pseudogene	Q63HN1	389715	ENSG00000257198
FAM205C	family with sequence similarity 205 member C	A6NFA0	100129969	ENSG00000187791
FAM207A	family with sequence similarity 207 member A	Q9NSI2	85395	ENSG00000160256
FAM207BP	family with sequence similarity 207 member B, pseudogene		729535	ENSG00000228797
FAM207CP	family with sequence similarity 207 member C, pseudogene		727987	ENSG00000232797
FAM209A	family with sequence similarity 209 member A	Q5JX71	200232	ENSG00000124103
FAM209B	family with sequence similarity 209 member B	Q5JX69	388799	ENSG00000213714
FAM210A	family with sequence similarity 210 member A	Q96ND0	125228	ENSG00000177150
FAM210B	family with sequence similarity 210 member B	Q96KR6	116151	ENSG00000124098
FAM210CP	family with sequence similarity 210 member C, pseudogene		100131328	ENSG00000213770
FAM214A	family with sequence similarity 214 member A	Q32MH5	56204	ENSG00000047346
FAM214B	family with sequence similarity 214 member B	Q7L5A3	80256	ENSG00000005238
FAM215A	family with sequence similarity 215 member A	Q9Y5M1	23591	ENSG00000267496
FAM215B	family with sequence similarity 215 member B			ENSG00000232300
FAM216A	family with sequence similarity 216 member A	Q8WUB2	29902	ENSG00000204856
FAM216B	family with sequence similarity 216 member B	Q8N7L0	144809	ENSG00000179813
FAM217A	family with sequence similarity 217 member A	Q8IXS0	222826	ENSG00000145975
FAM217AP1	family with sequence similarity 217 member A pseudogene 1		100133062	
FAM217B	family with sequence similarity 217 member B	Q9NTX9	63939	ENSG00000196227
FAM218A	family with sequence similarity 218 member A	Q96MZ4	152756	ENSG00000250486
FAM218BP	family with sequence similarity 218 member B, pseudogene			ENSG00000221891
FAM219A	family with sequence similarity 219 member A	Q8IW50	203259	ENSG00000164970
FAM219B	family with sequence similarity 219 member B	Q5XKK7	57184	ENSG00000178761
FAM220A	family with sequence similarity 220 member A	Q7Z4H9	84792	ENSG00000178397
FAM220BP	family with sequence similarity 220 member B, pseudogene	B1ANY3	647044	ENSG00000176007
FAM220CP	family with sequence similarity 220 member C, pseudogene		100507415	ENSG00000213612
FAM221A	family with sequence similarity 221 member A	A4D161	340277	ENSG00000188732
FAM221B	family with sequence similarity 221 member B	A6H8Z2	392307	ENSG00000204930
FAM222A	family with sequence similarity 222 member A	Q5U5X8	84915	ENSG00000139438
FAM222A-AS1	FAM222A antisense RNA 1		84983	ENSG00000255650
FAM222B	family with sequence similarity 222 member B	Q8WU58	55731	ENSG00000173065
FAM223A	family with sequence similarity 223 member A	Q8IWN6	100132967	ENSG00000279245
FAM223B	family with sequence similarity 223 member B	A6NKX1	286967	ENSG00000272681
FAM224A	family with sequence similarity 224 member A		401630	ENSG00000233522
FAM224B	family with sequence similarity 224 member B		401629	ENSG00000230663
FAM225A	family with sequence similarity 225 member A		286333	ENSG00000231528
FAM225B	family with sequence similarity 225 member B		100128385	ENSG00000225684
FAM226A	family with sequence similarity 226 member A		203429	
FAM226B	family with sequence similarity 226 member B		653687	ENSG00000269911
FAM227A	family with sequence similarity 227 member A	F5H4B4	646851	ENSG00000184949
FAM227B	family with sequence similarity 227 member B	Q96M60	196951	ENSG00000166262
FAM228A	family with sequence similarity 228 member A	Q86W67	653140	ENSG00000186453
FAM228B	family with sequence similarity 228 member B	P0C875	375190	ENSG00000219626
FAM229A	family with sequence similarity 229 member A	H3BQW9	100128071	ENSG00000225828
FAM229B	family with sequence similarity 229 member B	Q4G0N7	619208	ENSG00000203778
FAM230A	family with sequence similarity 230 member A		653203	ENSG00000277870
FAM230B	family with sequence similarity 230 member B		642633	ENSG00000215498
FAM230C	family with sequence similarity 230 member C		26080	ENSG00000279516
FAM230D	family with sequence similarity 230 member D		100996415	ENSG00000187979
FAM230E	family with sequence similarity 230 member E		642643	ENSG00000182824
FAM230F	family with sequence similarity 230 member F		100996432	ENSG00000276095
FAM230G	family with sequence similarity 230 member G		101927859	ENSG00000188280
FAM230H	family with sequence similarity 230 member H		100996335	ENSG00000206142
FAM230I	family with sequence similarity 230 member I		388882	ENSG00000178248
FAM230J	family with sequence similarity 230 member J		729461	ENSG00000274044
FAM234A	family with sequence similarity 234 member A	Q9H0X4	83986	ENSG00000167930
FAM234B	family with sequence similarity 234 member B	A2RU67	57613	ENSG00000084444
FAM236A	family with sequence similarity 235 member A	A0A1B0GUQ0	100129407	ENSG00000275520
FAM236B	family with sequence similarity 236 member B	A0A1B0GV22	100132304	ENSG00000268994
FAM236C	family with sequence similarity 236 member C	P0DP71		ENSG00000283594
FAM236D	family with sequence similarity 236 member D	A0A1B0GTK5	105373251	ENSG00000225396
FAM237A	family with sequence similarity 237 member A	A0A1B0GTK4	200726	ENSG00000235118
FAM237B	family with sequence similarity 237 member B		107986818	ENSG00000283267
FAM238A	family with sequence similarity 238 member A		645528	ENSG00000233261
FAM238B	family with sequence similarity 238 member B		731789	ENSG00000231976
FAM238C	family with sequence similarity 238 member C		387644	ENSG00000283709
FAM239A	family with sequence similarity 239 member A			
FAM239B	family with sequence similarity 239 member B			
FAM239C	family with sequence similarity 239 member C		107987330	
FAM240A	family with sequence similarity 240 member A	A0A1B0GVK7	100132146	ENSG00000283473
FAM240B	family with sequence similarity 240 member B	A0A1B0GVZ2	110806297	ENSG00000283329
FAM241A	family with sequence similarity 241 member A	Q8N8J7	132720	ENSG00000174749
FAM241B	family with sequence similarity 241 member B	Q96D05	219738	ENSG00000171224
FAM242A	family with sequence similarity 242 member A			ENSG00000231934
FAM242B	family with sequence similarity 242 member B		105379478	
FAM242C	family with sequence similarity 242 member C			ENSG00000250432
FAM242D	family with sequence similarity 242 member D			ENSG00000231248
FAM242E	family with sequence similarity 242 member E		105379438	ENSG00000229697
FAM242F	family with sequence similarity 242 member F		105376064	ENSG00000275239
FAM243A	family with sequence similarity 243 member A	B9A014	101928147	ENSG00000222018
FAM243B	family with sequence similarity 243 member B	P0DPQ4	102723451	ENSG00000277277
FAM245A	family with sequence similarity 245 member A		728218	ENSG00000228055
FAM245B	family with sequence similarity 245 member B		102724643	
FAN1	FANCD2 and FANCI associated nuclease 1	Q9Y2M0	22909	ENSG00000198690
FANCA	FA complementation group A	O15360	2175	ENSG00000187741
FANCB	FA complementation group B	Q8NB91	2187	ENSG00000181544
FANCC	FA complementation group C	Q00597	2176	ENSG00000158169
FANCD2	FA complementation group D2	Q9BXW9	2177	ENSG00000144554
FANCD2OS	FANCD2 opposite strand	Q96PS1	115795	ENSG00000163705
FANCD2P1	FANCD2 pseudogene 1		100421239	
FANCD2P2	FANCD2 pseudogene 2		101929530	ENSG00000230342
FANCE	FA complementation group E	Q9HB96	2178	ENSG00000112039
FANCF	FA complementation group F	Q9NPI8	2188	ENSG00000183161
FANCG	FA complementation group G	O15287	2189	ENSG00000221829
FANCI	FA complementation group I	Q9NVI1	55215	ENSG00000140525
FANCL	FA complementation group L	Q9NW38	55120	ENSG00000115392
FANCM	FA complementation group M	Q8IYD8	57697	ENSG00000187790
FANK1	fibronectin type III and ankyrin repeat domains 1	Q8TC84	92565	ENSG00000203780
FANK1-AS1	FANK1 antisense RNA 1			ENSG00000233409
FAP	fibroblast activation protein alpha	Q12884	2191	ENSG00000078098
FAR1	fatty acyl-CoA reductase 1	Q8WVX9	84188	ENSG00000197601
FAR1-IT1	FAR1 intronic transcript 1			ENSG00000254791
FAR1P1	fatty acyl-CoA reductase 1 pseudogene 1		100128011	ENSG00000235879
FAR2	fatty acyl-CoA reductase 2	Q96K12	55711	ENSG00000064763
FAR2P1	fatty acyl-CoA reductase 2 pseudogene 1		440905	ENSG00000180178
FAR2P2	fatty acyl-CoA reductase 2 pseudogene 2		100216479	ENSG00000178162
FAR2P3	fatty acyl-CoA reductase 2 pseudogene 3		100288897	ENSG00000240253
FAR2P4	fatty acyl-CoA reductase 2 pseudogene 4		100420005	ENSG00000231431
FARP1	FERM, ARH/RhoGEF and pleckstrin domain protein 1	Q9Y4F1	10160	ENSG00000152767
FARP1-AS1	FARP1 antisense RNA 1			ENSG00000231194
FARP2	FERM, ARH/RhoGEF and pleckstrin domain protein 2	O94887	9855	ENSG00000006607
FARS2	phenylalanyl-tRNA synthetase 2, mitochondrial	O95363	10667	ENSG00000145982
FARSA	phenylalanyl-tRNA synthetase subunit alpha	Q9Y285	2193	ENSG00000179115
FARSA-AS1	FARSA antisense RNA 1			ENSG00000266975
FARSB	phenylalanyl-tRNA synthetase subunit beta	Q9NSD9	10056	ENSG00000116120
FARSBP1	FARSB pseudogene 1		647532	ENSG00000231060
FAS	Fas cell surface death receptor	P25445	355	ENSG00000026103
FAS-AS1	FAS antisense RNA 1		100302740	
FASLG	Fas ligand	P48023	356	ENSG00000117560
FASN	fatty acid synthase	P49327	2194	ENSG00000169710
FASTK	Fas activated serine/threonine kinase	Q14296	10922	ENSG00000164896
FASTKD1	FAST kinase domains 1	Q53R41	79675	ENSG00000138399
FASTKD2	FAST kinase domains 2	Q9NYY8	22868	ENSG00000118246
FASTKD3	FAST kinase domains 3	Q14CZ7	79072	ENSG00000124279
FASTKD5	FAST kinase domains 5	Q7L8L6	60493	ENSG00000215251
FAT1	FAT atypical cadherin 1	Q14517	2195	ENSG00000083857
FAT1P1	FAT atypical cadherin 1 pseudogene 1		170513	ENSG00000217809
FAT2	FAT atypical cadherin 2	Q9NYQ8	2196	ENSG00000086570
FAT3	FAT atypical cadherin 3	Q8TDW7	120114	ENSG00000165323
FAT4	FAT atypical cadherin 4	Q6V0I7	79633	ENSG00000196159
FATE1	fetal and adult testis expressed 1	Q969F0	89885	ENSG00000147378
FAU	FAU ubiquitin like and ribosomal protein S30 fusion	P35544, P62861	2197	ENSG00000149806
FAUP1	FAU pseudogene 1		140623	ENSG00000235297
FAUP2	FAU pseudogene 2		100271125	ENSG00000237806
FAUP3	FAU pseudogene 3		100271126	
FAXC	failed axon connections homolog, metaxin like GST domain containing	Q5TGI0	84553	ENSG00000146267
FAXDC2	fatty acid hydroxylase domain containing 2	Q96IV6	10826	ENSG00000170271
FBF1	Fas binding factor 1	Q8TES7	85302	ENSG00000188878
FBH1	F-box DNA helicase 1	Q8NFZ0	84893	ENSG00000134452
FBL	fibrillarin	P22087	2091	ENSG00000105202
FBLIM1	filamin binding LIM protein 1	Q8WUP2	54751	ENSG00000162458
FBLL1	fibrillarin like 1	A6NHQ2	345630	ENSG00000188573
FBLN1	fibulin 1	P23142	2192	ENSG00000077942
FBLN2	fibulin 2	P98095	2199	ENSG00000163520
FBLN5	fibulin 5	Q9UBX5	10516	ENSG00000140092
FBLN7	fibulin 7	Q53RD9	129804	ENSG00000144152
FBN1	fibrillin 1	P35555	2200	ENSG00000166147
FBN2	fibrillin 2	P35556	2201	ENSG00000138829
FBN3	fibrillin 3	Q75N90	84467	ENSG00000142449
FBP1	fructose-bisphosphatase 1	P09467	2203	ENSG00000165140
FBP2	fructose-bisphosphatase 2	O00757	8789	ENSG00000130957
FBP2P1	fructose-bisphosphatase 2 pseudogene 1		100420269	ENSG00000237743
FBRS	fibrosin	Q9HAH7	64319	ENSG00000156860
FBRSL1	fibrosin like 1	Q9HCM7	57666	ENSG00000112787
FBXL2	F-box and leucine rich repeat protein 2	Q9UKC9	25827	ENSG00000153558
FBXL3	F-box and leucine rich repeat protein 3	Q9UKT7	26224	ENSG00000005812
FBXL4	F-box and leucine rich repeat protein 4	Q9UKA2	26235	ENSG00000112234
FBXL5	F-box and leucine rich repeat protein 5	Q9UKA1	26234	ENSG00000118564
FBXL6	F-box and leucine rich repeat protein 6	Q8N531	26233	ENSG00000182325
FBXL7	F-box and leucine rich repeat protein 7	Q9UJT9	23194	ENSG00000183580
FBXL8	F-box and leucine rich repeat protein 8	Q96CD0	55336	ENSG00000135722
FBXL12	F-box and leucine rich repeat protein 12	Q9NXK8	54850	ENSG00000127452
FBXL13	F-box and leucine rich repeat protein 13	Q8NEE6	222235	ENSG00000161040
FBXL14	F-box and leucine rich repeat protein 14	Q8N1E6	144699	ENSG00000171823
FBXL15	F-box and leucine rich repeat protein 15	Q9H469	79176	ENSG00000107872
FBXL16	F-box and leucine rich repeat protein 16	Q8N461	146330	ENSG00000127585
FBXL17	F-box and leucine rich repeat protein 17	Q9UF56	64839	ENSG00000145743
FBXL18	F-box and leucine rich repeat protein 18	Q96ME1	80028	ENSG00000155034
FBXL19	F-box and leucine rich repeat protein 19	Q6PCT2	54620	ENSG00000099364
FBXL19-AS1	FBXL19 antisense RNA 1	Q494R0	283932	ENSG00000260852
FBXL20	F-box and leucine rich repeat protein 20	Q96IG2	84961	ENSG00000108306
FBXL21P	F-box and leucine rich repeat protein 21, pseudogene	Q9UKT6	26223	ENSG00000164616
FBXL22	F-box and leucine rich repeat protein 22	Q6P050	283807	ENSG00000197361
FBXO2	F-box protein 2	Q9UK22	26232	ENSG00000116661
FBXO3	F-box protein 3	Q9UK99	26273	ENSG00000110429
FBXO3-DT	FBXO3 divergent transcript		101928440	ENSG00000254508
FBXO4	F-box protein 4	Q9UKT5	26272	ENSG00000151876
FBXO5	F-box protein 5	Q9UKT4	26271	ENSG00000112029
FBXO6	F-box protein 6	Q9NRD1	26270	ENSG00000116663
FBXO7	F-box protein 7	Q9Y3I1	25793	ENSG00000100225
FBXO8	F-box protein 8	Q9NRD0	26269	ENSG00000164117
FBXO9	F-box protein 9	Q9UK97	26268	ENSG00000112146
FBXO10	F-box protein 10	Q9UK96	26267	ENSG00000147912
FBXO11	F-box protein 11	Q86XK2	80204	ENSG00000138081
FBXO15	F-box protein 15	Q8NCQ5	201456	ENSG00000141665
FBXO16	F-box protein 16	Q8IX29	157574	ENSG00000214050
FBXO17	F-box protein 17	Q96EF6	115290	ENSG00000269190
FBXO21	F-box protein 21	O94952	23014	ENSG00000135108
FBXO22	F-box protein 22	Q8NEZ5	26263	ENSG00000167196
FBXO24	F-box protein 24	O75426	26261	ENSG00000106336
FBXO25	F-box protein 25	Q8TCJ0	26260	ENSG00000147364
FBXO27	F-box protein 27	Q8NI29	126433	ENSG00000161243
FBXO28	F-box protein 28	Q9NVF7	23219	ENSG00000143756
FBXO30	F-box protein 30	Q8TB52	84085	ENSG00000118496
FBXO31	F-box protein 31	Q5XUX0	79791	ENSG00000103264
FBXO32	F-box protein 32	Q969P5	114907	ENSG00000156804
FBXO33	F-box protein 33	Q7Z6M2	254170	ENSG00000165355
